Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1013383,"The Gruffalo (Gruffalo, #1)",Julia Donaldson,"Donaldson, Julia",Axel Scheffler,"=""0333710932""","=""9780333710937""",4,4.46,Macmillan Pub Ltd,Paperback,32,2001,1999,,2017/02/11,,,read,,,,1,0
50856,Glory Road,Robert A. Heinlein,"Heinlein, Robert A.",,"=""0765312220""","=""9780765312228""",0,3.79,Orb Books,Paperback,320,2006,1963,,2017/02/11,to-read,to-read (#19),to-read,,,,0,0
9593,Galápagos,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333870""","=""9780385333870""",0,3.87,Dial Press Trade Paperback,Paperback,324,1999,1985,,2017/02/11,to-read,to-read (#18),to-read,,,,0,0
17993169,Freak of Nurture,Kelli  Dunham,"Dunham, Kelli",,"=""0983242283""","=""9780983242284""",3,4.04,Topside Press,Hardcover,202,2013,2013,,2017/02/11,,,read,,,,2,0
116356,Footfall,Larry Niven,"Niven, Larry",Jerry Pournelle,"=""0345418425""","=""9780345418425""",0,3.92,Del Rey,Paperback,524,1997,1985,,2017/02/11,to-read,to-read (#17),to-read,,,,0,0
50840,Farnham's Freehold,Robert A. Heinlein,"Heinlein, Robert A.",,"=""1416520937""","=""9781416520931""",0,3.59,Baen Books,Paperback,304,2006,1964,,2017/02/11,to-read,to-read (#16),to-read,,,,0,0
296805,Novel Ideas Classic: Fahrenheit 451 Ray Bradbury,Mark Angney,"Angney, Mark",,"=""0940146169""","=""9780940146167""",5,3.94,Sundance,Paperback,56,1998,1998,,2017/02/11,,,read,,,,2,0
458604,The Essential Ellison,Harlan Ellison,"Ellison, Harlan",,"=""0962344737""","=""9780962344732""",5,4.45,Morpheus Intl,Hardcover,1019,1991,1974,,2017/02/11,,,read,,,,1,0
83978,Earth from Above,Yann Arthus-Bertrand,"Arthus-Bertrand, Yann","Jean-Robert Pitte, Lester R. Brown, Hervé Le Bras","=""081095947X""","=""9780810959477""",5,4.38,"""Harry N. Abrams, Inc.""",Hardcover,524,2005,1999,,2017/02/11,,,read,,,,2,0
498139,"Dragon Weather (Obsidian Chronicles, #1)",Lawrence Watt-Evans,"Watt-Evans, Lawrence",,"=""0812589556""","=""9780812589559""",0,4.02,Tor Fantasy,Mass Market Paperback,560,2000,1999,,2017/02/11,to-read,to-read (#15),to-read,,,,0,0
8705,Two Complete Novels: Dirk Gently's Holistic Detective Agency / The Long Dark Tea-Time of the Soul (Dirk Gently #1-2),Douglas Adams,"Adams, Douglas",,"=""0517119129""","=""9780517119129""",0,4.19,Wings Books,Hardcover,436,1994,1987,,2017/02/11,to-read,to-read (#14),to-read,,,,0,0
23168784,Dark Orbit,Carolyn Ives Gilman,"Gilman, Carolyn Ives",,"=""0765336294""","=""9780765336293""",5,3.70,Tor Books (Macmillan),Hardcover,303,2015,2015,,2017/02/11,,,read,,,,1,0
766955,"Click, Clack, Moo: Cows That Type",Doreen Cronin,"Cronin, Doreen",Betsy Lewin,"=""0689832133""","=""9780689832130""",5,4.28,Simon & Schuster Books for Young Readers,Hardcover,32,2000,1999,,2017/02/11,,,read,Cows can't type. This book is silly.,,,1,0
10170545,"The Children of the Sky (Zones of Thought, #3)",Vernor Vinge,"Vinge, Vernor",,"=""0312875622""","=""9780312875626""",0,3.69,Tor,Hardcover,444,2011,2011,,2017/02/11,to-read,to-read (#13),to-read,,,,0,0
19350628,The Catcher in the Rye and JD Salinger,Andrew Hastings,"Hastings, Andrew",,"=""""","=""""",0,3.77,,Kindle Edition,29,2013,2013,,2017/02/11,to-read,to-read (#12),to-read,,,,1,0
2094,A Briefer History of Time,Stephen W. Hawking,"Hawking, Stephen W.",Leonard Mlodinow,"=""0553804367""","=""9780553804362""",0,4.26,Bantam,Hardcover,176,2005,2005,,2017/02/11,to-read,to-read (#11),to-read,,,,0,0
20819685,The Bone Clocks,David  Mitchell,"Mitchell, David",,"=""1400065674""","=""9781400065677""",5,3.85,Random House,Hardcover,624,2014,2014,,2017/02/11,,,read,,,,2,0
94754,Beyond Civilization: Humanity's Next Great Adventure,Daniel Quinn,"Quinn, Daniel",,"=""0609805363""","=""9780609805367""",0,3.90,Crown,Paperback,202,2000,1999,,2017/02/11,to-read,to-read (#10),to-read,,,,0,0
728471,The Berenstain Bears Go to the Doctor,Stan Berenstain,"Berenstain, Stan",Jan Berenstain,"=""0394848357""","=""9780394848358""",4,4.12,Random House Books for Young Readers,Paperback,32,1981,1981,,2017/02/11,,,read,,,,1,0
68333,"Beggars in Spain (Sleepless, #1)",Nancy Kress,"Kress, Nancy",,"=""0060733489""","=""9780060733483""",0,3.93,Harper Voyager,Paperback,400,2004,1993,,2017/02/11,to-read,to-read (#9),to-read,,,,0,0
